Energy(eV),OscStrength
2.141580915844334410e+00,9.414556237995901740e-07
2.141649527078802517e+00,4.890269697532558076e-07
2.152229624017130583e+00,1.058220501396308277e-03
2.154715320230956355e+00,4.430232140444706306e-03
2.155467189308522880e+00,1.419807800441316833e-04
2.155568188484149328e+00,3.404742509716824402e-03
2.155839657933160236e+00,1.736909763574680503e-03
2.167079540675200811e+00,1.364400258937909988e-05
2.167247785588569009e+00,1.764895716680695004e-02
2.168485065835572989e+00,2.476752989432096401e-04
2.168531576785873494e+00,2.491175582765828202e-04
2.170516040646726985e+00,8.159362048896497827e-03
2.181279425678420925e+00,4.696293805600622491e-04
2.181329359900912035e+00,4.464337648971754237e-04
2.201930997947850965e+00,1.882658841562005543e-07
2.202187367908611915e+00,2.270770676688834441e-04
2.202251041921894803e+00,1.815970903726518974e-07
2.202293277170039421e+00,6.548060100544320032e-06
2.202364050274349783e+00,8.931404266655959851e-06
2.202399418520200935e+00,9.062022317766420159e-06
2.202823112579146869e+00,5.897635727430772773e-07
2.203098663988476424e+00,4.046978832383701733e-07
2.205210824209749898e+00,3.547942017601957138e-05
2.206235125731753843e+00,2.764385244410422190e-06
2.206382505266712091e+00,6.686127508617842425e-06
2.206541018282625721e+00,2.387774924246839292e-06
2.215620048946085330e+00,3.881819312660704730e-04
2.259641176400684515e+00,6.694509703061851793e-07
2.259932850324291032e+00,7.005383235629701812e-07
2.267164431161293070e+00,5.679319776441302367e-05
2.267480893506996331e+00,4.653087422903833323e-05
2.273898600804078018e+00,6.015189657450776542e-05
2.276962183768709735e+00,6.633731294322860487e-04
2.277000991922380368e+00,6.331697478049016017e-04
2.287296236286090689e+00,5.423075385599157835e-06
2.290890360264915770e+00,1.560213900036198642e-01
2.295864835042063401e+00,1.553919212436434827e-01
2.316637738198945584e+00,2.015896496819496607e-04
2.316803313245268114e+00,2.753283864893965073e-04
2.335795960785657766e+00,2.179128212216476304e-02
2.336788610385415410e+00,2.190412726377663835e-02
2.347650198061896010e+00,1.262903870748438421e-04
2.348156264466151555e+00,4.586028081440509307e-04
2.348620155414646860e+00,1.573211425439526197e-03
2.348801113561421072e+00,1.760487008791576441e-03
2.377789297983043948e+00,8.941336508771362191e-09
2.394187791039952717e+00,7.076195351773223452e-02
2.396975800740336560e+00,2.929030950291791439e-04
2.397085012870636689e+00,6.809484179605914973e-04
2.397199097735425610e+00,7.620702464981403673e-04
2.397431920647937975e+00,6.477604828900830820e-05
2.430199031974098034e+00,1.014689091612720971e-09
2.435712202047560115e+00,2.514677019257864571e-07
2.439055006304575279e+00,7.375168290990527616e-07
2.439094775985949148e+00,9.275589858901468180e-07
2.449526716693860351e+00,1.797121684097591232e-04
2.450022360341190808e+00,1.501911786052764688e-04
2.452420364826330079e+00,2.835327284844884260e-05
2.455444487598154701e+00,3.127815366466717362e-07
2.455532821252648379e+00,2.011205433577795926e-06
2.455945337590862199e+00,1.998136900036538886e-06
2.456029492004728532e+00,5.704639408368590619e-07
2.458192720524726038e+00,5.899139601720212794e-04
2.458253571249547242e+00,4.018959931696723306e-05
