Energy(eV),OscStrength
1.041732513072366695e+00,1.155098336457541968e-03
1.052504022436306474e+00,3.037093767408281385e-04
1.057166831847289989e+00,1.894731324308943554e-04
1.072004370465942324e+00,5.692123086149453778e-04
1.073988422456618075e+00,9.388068590435541018e-05
1.075503953238930999e+00,1.453943523776755489e-05
1.082386165572177594e+00,4.973964497092475895e-04
1.088176992492683626e+00,1.996184741773942968e-06
1.091633079971852771e+00,1.439374598868577225e-04
1.095607358964286737e+00,5.808215930462339076e-05
1.097847580908063669e+00,8.774172685020227899e-07
1.099298535244094932e+00,2.716130047845295736e-04
1.101430648797799172e+00,2.099925418524074708e-05
1.105126996204066403e+00,8.045756235507687908e-10
1.108939088630298109e+00,1.095534939050138355e-06
1.113295326706591037e+00,2.702614790267950346e-09
1.115773483962825940e+00,9.267679495872317621e-04
1.118466054564489554e+00,2.760243666728668626e-06
1.122538772046197897e+00,8.904718281353439093e-06
1.122619624079753908e+00,3.646644773630677914e-06
1.125195203104666142e+00,9.731360312287988385e-07
1.129157224995153586e+00,4.122510403628361006e-04
1.133291828564347847e+00,4.591441036225251023e-03
1.137001344188772078e+00,2.016306403779164378e-05
1.137668534542298771e+00,4.217458936938017940e-03
1.138654746810908502e+00,1.098890978049211455e-05
1.143856446242558000e+00,3.265964255271983346e-03
1.148093407374435770e+00,6.805376895069621679e-02
1.150817928043438743e+00,1.121296091770813882e-04
1.155378634607863830e+00,4.249534521033379976e-04
1.156204721346317799e+00,3.231500802881002321e-05
1.157036013994062307e+00,1.526317185370968409e-10
1.158498126120904415e+00,4.433652728047272483e-04
1.160846728935321037e+00,1.155060197542746338e-03
1.168417514156404158e+00,6.584116922538154910e-04
1.176214272816167972e+00,3.830279223933977500e-03
1.181576266346726189e+00,5.279110149232927323e-09
1.183439373732758648e+00,4.561573685196190124e-04
1.185866040193028770e+00,8.098660442895502050e-05
1.188964709857097901e+00,5.467398415202856896e-08
1.191347017182207813e+00,4.769723947951542910e-04
1.193835851186220154e+00,1.630373187211792251e-06
1.197631808692641853e+00,2.885007326284836585e-03
1.203586230864428952e+00,1.259092821686881851e-04
1.208560265124170252e+00,2.476116860168959166e-04
1.208561387662885345e+00,5.382709357053507481e-04
1.210540250539816620e+00,1.144833228803872503e-05
1.212292664124733577e+00,8.774726870061838114e-05
1.215218803589979579e+00,1.957928860918678132e-05
1.223437823802484115e+00,1.889182647950887381e-05
1.228674194523892593e+00,2.775649749653359504e-04
1.231567778740359831e+00,5.251831512638508673e-04
1.239116644961673064e+00,1.862328596351228499e-03
1.241747720911945629e+00,1.173297737359038260e-04
